"","mergedColors"
"AKR1C1","pink"
"LYPLA1","yellow"
"TXNDC15","turquoise"
"BTK","turquoise"
"MT1G","magenta"
"HN1","turquoise"
"KDELC1","magenta"
"ATP2A3","turquoise"
"CTC-425F1.4","green"
"STAT4","turquoise"
"XCL1 ","turquoise"
"ZCCHC14","blue"
"GJA1","red"
"IL33","blue"
"MT1X","magenta"
"NUAK1","blue"
"LYZ","turquoise"
"OGT","brown"
"RGS3","magenta"
"IQCJ-SCHIP1 ","green"
"SLC35G2","turquoise"
"JAK2","turquoise"
"PFKP","grey"
"EMX2","blue"
"RTP4","brown"
"F2R","magenta"
"GSPT2","brown"
"YTHDC2","yellow"
"BANK1","turquoise"
"CENPU","turquoise"
"CSRP2","turquoise"
"ACP2","turquoise"
"APOB","pink"
"LOC100996668 ","blue"
"MARCH3","blue"
"DPEP2","turquoise"
"ABCA6","brown"
"MCM5","turquoise"
"CIDEA","pink"
"SCARB2","black"
"ASF1A","brown"
"NCOA2","brown"
"PLEKHF2","brown"
"NCF2","turquoise"
"MAGED4 ","magenta"
"CAPG","turquoise"
"LOC101060321 ","black"
"SGPP1","black"
"GPR65","turquoise"
"TLR1","blue"
"CENPT","green"
"ARID5B","turquoise"
"HS3ST2","turquoise"
"UBE2L6","turquoise"
"AMIGO2","brown"
"HSPG2","red"
"STON1","turquoise"
"GAREM","blue"
"NOTCH3","blue"
"IDO1","turquoise"
"FNBP1L","blue"
"HMHA1","turquoise"
"PDE4DIP","green"
"HSPA2","green"
"ID2","brown"
"GAL3ST4","yellow"
"ZNF423","brown"
"PHYH","blue"
"GATM","brown"
"SLC11A1","black"
"LGMN","turquoise"
"DACT1","blue"
"VAMP5","turquoise"
"FERMT2","turquoise"
"C14orf132","red"
"POMZP3","grey"
"CFI","grey"
"MMRN1","blue"
"TMEM2","blue"
"COL6A2","red"
"INPP5D","turquoise"
"SERINC3","green"
"RERGL","blue"
"SLK","yellow"
"NAGK","turquoise"
"NAIP","turquoise"
"DDAH1","turquoise"
"ACSL4","red"
"TAP2","turquoise"
"PPIP5K2","yellow"
"AKT2","brown"
"M6PR","turquoise"
"TCRDV2 ","turquoise"
"ZWINT","turquoise"
"RHOBTB1","brown"
"FZD1","brown"
"CIRBP","turquoise"
"AGAP10 ","black"
"CA2","turquoise"
"NR1D1 ","turquoise"
